base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max
DESHPDHK0000lce9,V4,6,106021.221624702,2812.25748321369,103791.1268588732,109180.48038451916
DESHPDHK0000lce9,V4,7,96411.81607749703,3495.9144826411966,93877.67504889762,100400.10231373378
DESHPDHK0000lce9,V4,4,104069.0410245222,2511.2869009141027,102499.57725716772,106965.44274766864
DESHPDHK0000lce9,V5,11,,,,
DESHPDHK0000lce9,V5,19,,,,
DESHPDHK0000lce9,V5,18,,,,
DESHPDHK0000lce9,V5,17,,,,
DESHPDHK0000lce9,V5,16,,,,
DESHPDHK0000lce9,V5,15,,,,
DESHPDHK0000lce9,V5,14,,,,
DESHPDHK0000lce9,V5,13,,,,
DESHPDHK0000lce9,V5,12,,,,
DESHPDHK0000lce9,V5,10,,,,
DESHPDHK0000lce9,V5,9,,,,
DESHPDHK0000lce9,V5,8,,,,
DESHPDHK0000lce9,V5,1,,,,
DESHPDHK0000lce9,V5,2,,,,
DESHPDHK0000lce9,V5,3,,,,
DESHPDHK0000lce9,V5,0,,,,
DESHPDHK0000lce9,V5,5,,,,
DESHPDHK0000lce9,V5,6,,,,
DESHPDHK0000lce9,V5,7,,,,
DESHPDHK0000lce9,V5,4,,,,
DESHPDHK0000lce9,V6,11,,,,
DESHPDHK0000lce9,V6,18,,,,
DESHPDHK0000lce9,V6,17,,,,
DESHPDHK0000lce9,V6,16,,,,
DESHPDHK0000lce9,V6,15,,,,
DESHPDHK0000lce9,V6,19,,,,
DESHPDHK0000lce9,V6,13,,,,
DESHPDHK0000lce9,V6,12,,,,
DESHPDHK0000lce9,V6,10,,,,
DESHPDHK0000lce9,V6,14,,,,
DESHPDHK0000lce9,V6,8,,,,
DESHPDHK0000lce9,V6,7,,,,
DESHPDHK0000lce9,V6,6,,,,
DESHPDHK0000lce9,V6,5,,,,
DESHPDHK0000lce9,V6,4,,,,
DESHPDHK0000lce9,V6,3,,,,
DESHPDHK0000lce9,V6,2,,,,
DESHPDHK0000lce9,V6,1,,,,
DESHPDHK0000lce9,V6,0,,,,
DESHPDHK0000lce9,V6,9,,,,
DESHPDHK0000lce9,V7,12,239759.55009967004,2577.307030482567,237925.0951065612,242706.2092132218
DESHPDHK0000lce9,V7,13,101002.44398680567,2032.49057855762,99622.12922778212,103336.39768169286
DESHPDHK0000lce9,V7,15,37922.838263197984,2020.5862579077136,36429.78925785047,40222.06116748378
DESHPDHK0000lce9,V7,19,42490.807347605354,2315.2002098389826,40697.97771883467,45104.625275208426
DESHPDHK0000lce9,V7,17,240086.61639306016,2952.4814886906015,237762.89087621748,243408.88923589635
DESHPDHK0000lce9,V7,18,219009.78142407103,2328.98812981378,217251.4503949724,221651.1585328664
DESHPDHK0000lce9,V7,11,228472.31400288222,2793.3244986287123,226404.43500776344,231649.98135182555
DESHPDHK0000lce9,V7,16,208640.27435314635,2535.318244566852,206526.3210356877,211451.17222730632
DESHPDHK0000lce9,V7,10,104402.25096117581,2134.7596643092324,102781.66946097404,106821.10800623146
DESHPDHK0000lce9,V7,14,87791.44397152116,1784.278713763373,86604.59563241465,89843.35838559413
DESHPDHK0000lce9,V7,8,231203.29261631265,3047.432299855998,229365.943182278,234720.9967512368
DESHPDHK0000lce9,V7,7,94265.91624387972,2721.55309864033,92270.32833134966,97366.10714916312
DESHPDHK0000lce9,V7,6,107413.83058046119,2223.5838912314366,105683.3707780965,109921.75855969804
DESHPDHK0000lce9,V7,5,98838.04457556568,2165.764173211743,97362.04840905745,101324.35926095664
DESHPDHK0000lce9,V7,4,104223.29731621793,1975.1732568044222,103082.29933772852,106504.0308227753
DESHPDHK0000lce9,V7,3,199943.18155536032,2670.7714744774908,198073.01919597975,203001.91285478545
