variant,building_id,weather_key,seed,sample_id,run_dir,timeseries_csv,n_total_zones,n_residential_zones,annual_heat_demand_kWh,peak_heat_demand_kW,peak_timestamp,peak_zone_heat_demand_kW,peak_zone_number,peak_zone_name,overheating_threshold_C,overheating_hours_mean_zone,overheating_hours_max_zone,overheated_zone_number,overheated_zone_name,mean_indoor_temp_C
V1,DESHPDHK0000lce9_1,TRY_B,3,7,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0007\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0007\seed_3\timeseries.csv,1,1,62828205.907990456,59506.24609375,2021-01-01T01:00:00,59506.24609375,1,ThermalZone,26.0,71.0,71.0,1,ThermalZone,21.937671599286364
V1,DESHPDHK0000lce9_1,TRY_B,1,8,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_1\timeseries.csv,1,1,177341895.681674,63569.51171875,2021-01-01T04:00:00,63569.51171875,1,ThermalZone,26.0,33.0,33.0,1,ThermalZone,21.555183799211587
V1,DESHPDHK0000lce9_1,TRY_B,2,8,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_2\timeseries.csv,1,1,173254884.12837362,63419.02734375,2021-01-01T04:00:00,63419.02734375,1,ThermalZone,26.0,51.0,51.0,1,ThermalZone,21.573934571120652
V1,DESHPDHK0000lce9_1,TRY_B,3,8,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_3\timeseries.csv,1,1,172746910.13139677,63552.93359375,2021-01-01T04:00:00,63552.93359375,1,ThermalZone,26.0,44.0,44.0,1,ThermalZone,21.571148021198592
V1,DESHPDHK0000lce9_1,TRY_B,1,11,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_1\timeseries.csv,1,1,181575720.5529058,61406.44140625,2021-01-01T04:00:00,61406.44140625,1,ThermalZone,26.0,6.0,6.0,1,ThermalZone,21.267737647532183
V1,DESHPDHK0000lce9_1,TRY_B,2,11,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_2\timeseries.csv,1,1,177709829.90229034,61252.18359375,2021-01-01T04:00:00,61252.18359375,1,ThermalZone,26.0,9.0,9.0,1,ThermalZone,21.28244884792713
V1,DESHPDHK0000lce9_1,TRY_B,3,11,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_3\timeseries.csv,1,1,177358210.03744888,61381.41796875,2021-01-01T04:00:00,61381.41796875,1,ThermalZone,26.0,7.0,7.0,1,ThermalZone,21.27957688292309
V1,DESHPDHK0000lce9_1,TRY_B,1,12,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_1\timeseries.csv,1,1,188776180.39643002,66090.6484375,2021-01-01T04:00:00,66090.6484375,1,ThermalZone,26.0,17.0,17.0,1,ThermalZone,21.766770235777276
V1,DESHPDHK0000lce9_1,TRY_B,2,12,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_2\timeseries.csv,1,1,184808359.1122985,65994.5390625,2021-01-01T03:00:00,65994.5390625,1,ThermalZone,26.0,19.0,19.0,1,ThermalZone,21.78047458947816
V1,DESHPDHK0000lce9_1,TRY_B,3,12,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_3\timeseries.csv,1,1,184391609.24149513,66072.4375,2021-01-01T04:00:00,66072.4375,1,ThermalZone,26.0,18.0,18.0,1,ThermalZone,21.777764269059542
V1,DESHPDHK0000lce9_1,TRY_B,1,16,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_1\timeseries.csv,1,1,166929570.26643372,58953.57421875,2021-01-01T04:00:00,58953.57421875,1,ThermalZone,26.0,36.0,36.0,1,ThermalZone,21.098891843724605
V1,DESHPDHK0000lce9_1,TRY_B,2,16,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_2\timeseries.csv,1,1,163145958.59221172,58798.421875,2021-01-01T04:00:00,58798.421875,1,ThermalZone,26.0,51.0,51.0,1,ThermalZone,21.119477348732595
V1,DESHPDHK0000lce9_1,TRY_B,3,16,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_3\timeseries.csv,1,1,162767938.6754899,58927.21875,2021-01-01T04:00:00,58927.21875,1,ThermalZone,26.0,47.0,47.0,1,ThermalZone,21.116478447184274
V1,DESHPDHK0000lce9_1,TRY_B,1,17,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0017\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0017\seed_1\timeseries.csv,1,1,174972449.4526743,60349.5,2021-01-01T04:00:00,60349.5,1,ThermalZone,26.0,8.0,8.0,1,ThermalZone,21.196369523569942
