base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V2,44,89335.7843894794,1771.1233100657603,87730.07859684914,91410.4853868,47.16430847167969,0.6093435677590029,46.570681640625,47.76009375,2289.5,41.1703777004778,2234.0,2333.0,4.426474641874593,0.09681417657292479,4.333369293056133,4.524196719241561
DESHPDHK0000lce9,V2,28,58498.4122107982,2171.469391893212,56155.93411714774,60880.9650208829,39.57313537597656,0.7854763454236595,38.67416259765625,40.58112939453125,2465.0,51.92943930629972,2394.0,2513.0,5.058703209735822,0.03721727236299745,5.005813036072723,5.093173098991395
DESHPDHK0000lce9,V2,29,208807.60540937277,2383.6548319933245,206535.4774144812,211748.7763453272,78.03985717773438,0.18039972978349922,77.7921005859375,78.1884697265625,223.0,32.29034943549955,175.0,245.0,6.7184748184244185,0.036659537655206895,6.676956028715689,6.752912451913133
DESHPDHK0000lce9,V2,1,224877.7442984298,2139.153167754193,222748.56415509165,227729.44838043983,77.90788427734375,0.1737127413688691,77.6734111328125,78.0422734375,114.0,13.638181696985855,96.0,129.0,7.862623795787029,0.019384410616988947,7.84353972444686,7.883356852640835
DESHPDHK0000lce9,V2,2,75932.22428856956,1779.7869175800515,74376.05516851178,77919.37435718674,44.7736142578125,0.5383325668504702,44.27235546875,45.35338671875,2464.0,27.47119703738202,2434.0,2496.0,3.618661390865603,0.0373348245234121,3.5786523086378925,3.655577651878265
DESHPDHK0000lce9,V2,3,90723.50819781207,1690.7909090415583,89199.94013339281,92888.58923342758,46.31632104492188,0.8993011492864929,45.57526123046875,47.45430859375,2227.0,45.28428719397785,2163.0,2261.0,3.859463822663396,0.0988059354748483,3.7496982483460535,3.960628381073169
DESHPDHK0000lce9,V2,4,249427.52111644406,2363.3413428828335,247103.8065182288,252203.38538988208,83.47808251953126,0.15018546114715026,83.2537275390625,83.571033203125,49.25,11.528949070347508,34.0,62.0,6.830058144537941,0.018551928154537458,6.8066791647197125,6.845999672537786
DESHPDHK0000lce9,V2,5,241750.06897270243,2495.372243846372,239345.5318823,244869.95677984905,84.6617294921875,0.13471370750174538,84.46143359375,84.74803125,82.5,3.696845502136472,79.0,87.0,8.014245353622972,0.02407449556488476,7.985823924867224,8.041760475446942
DESHPDHK0000lce9,V2,6,240249.54011085967,2682.8867046186497,237669.13962355183,243306.1244917885,87.86055737304687,0.13408138947068607,87.682607421875,87.9691884765625,206.25,15.063753405664428,186.0,220.0,7.296611302139256,0.019679010651908118,7.274865981120389,7.31847685426491
DESHPDHK0000lce9,V2,7,32486.014731950996,1533.1318915075174,31047.50746495348,34426.222360209635,30.456396545410158,1.336024022556732,29.0757041015625,31.90655517578125,2708.0,51.568724371786935,2640.0,2755.0,4.078103713283882,0.075201777376764,3.971875155357151,4.139623249438431
DESHPDHK0000lce9,V2,9,248915.6862797377,2664.1199299000286,246426.26351682268,252064.6825017437,87.034533203125,0.13655885169002271,86.8503603515625,87.1447333984375,105.75,16.070158679988197,85.0,123.0,7.19312343852132,0.012830105086154361,7.18040342127375,7.205195130530105
DESHPDHK0000lce9,V2,10,105183.3836716536,2072.165481566788,103427.23758876655,107546.92424783391,49.82830810546875,0.7812913508317363,49.1670439453125,50.6984755859375,2256.75,39.00747791556554,2210.0,2305.0,4.096241966990384,0.07155853602182266,4.0338032703641336,4.168922534912585
DESHPDHK0000lce9,V2,11,205006.08042556813,2358.697578779153,202948.84587057435,207840.59158698932,73.19115356445312,0.18350857784337796,72.942052734375,73.3470380859375,181.5,15.0,162.0,198.0,6.98828028075948,0.024794536534037834,6.96347278585826,7.013044256500523
DESHPDHK0000lce9,V2,12,245096.82168093644,2808.927363568809,242440.5094986657,248165.6164060054,87.91594580078126,0.15290150041166248,87.7117490234375,88.0388515625,173.75,22.23173407541571,143.0,195.0,6.946024478999002,0.014954006841126494,6.932818246124515,6.96160793924914
DESHPDHK0000lce9,V2,13,225289.30250144287,2494.6653720675113,223102.6416911497,228089.9877017312,77.33453930664062,0.1783400270222702,77.0863095703125,77.483421875,73.5,5.972157622389638,65.0,79.0,6.832367977041756,0.018526382378977097,6.809630438503429,6.848804645867074
DESHPDHK0000lce9,V2,14,224823.239032887,2563.380645894369,222260.6022186384,227676.8142457632,78.51765161132812,0.17800148135432003,78.2715810546875,78.6651630859375,97.0,10.645812948447542,84.0,110.0,6.339990179338165,0.01918187340944301,6.31760746729781,6.358338210479596
DESHPDHK0000lce9,V2,8,213436.11756940148,2063.882650086889,211289.49542737065,215989.20272288693,78.17812524414063,0.16817343069910284,77.938505859375,78.30319921875,94.75,7.632168761236874,84.0,102.0,7.681950835084391,0.028156893840916967,7.651855503583445,7.7109331388531235
DESHPDHK0000lce9,V2,27,228067.2722905358,2408.8207046260522,225594.22257828875,230859.5687497992,82.2016328125,0.1596903527330307,81.96841015625,82.317833984375,171.0,16.391054470858997,147.0,184.0,6.4294705294593975,0.022807500611841496,6.402163807407744,6.449066412910157
DESHPDHK0000lce9,V2,15,79767.84908932992,2300.8959155032676,77337.89017461496,82727.27445158557,73.60458520507812,0.12924600393923738,73.4179951171875,73.6945390625,304.0,20.558858593479034,281.0,331.0,7.645964743652622,0.03355373174215111,7.596984936431477,7.67267238276011
DESHPDHK0000lce9,V2,26,98860.73623737108,1638.0102111401911,97233.2657656703,100989.63703176516,48.45159350585938,0.7407387897517251,47.8116689453125,49.312693359375,2245.25,33.24028680181128,2198.0,2274.0,4.07403777024202,0.08235268131023325,3.975977329532383,4.15763053288812
DESHPDHK0000lce9,V2,25,212307.62422691152,2679.6029507866842,209248.51729849688,215139.88236384105,80.40315942382813,0.13690505944791445,80.218494140625,80.5220126953125,136.0,17.64464035715473,110.0,149.0,7.270003678550763,0.002757815173869271,7.266177834583848,7.272089048711534
