base_building_group,variant,sample_id,seed,annual_heating_kWh,peak_heating_kW,overheating_hours_any_zone_gt_26C,mean_interzone_spread_C,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V2,26,1,100989.63703176516,49.312693359375,2198.0,3.975977329532383,100989.63703176516,,100989.63703176516,100989.63703176516,49.312693359375,,49.312693359375,49.312693359375,2198.0,,2198.0,2198.0,3.975977329532383,,3.975977329532383,3.975977329532383
DESHPDHK0000lce9,V2,26,2,98000.66180494094,47.8559150390625,2261.0,4.123919208876252,98000.66180494094,,98000.66180494094,98000.66180494094,47.8559150390625,,47.8559150390625,47.8559150390625,2261.0,,2261.0,2261.0,4.123919208876252,,4.123919208876252,4.123919208876252
DESHPDHK0000lce9,V2,26,3,97233.2657656703,47.8116689453125,2248.0,4.15763053288812,97233.2657656703,,97233.2657656703,97233.2657656703,47.8116689453125,,47.8116689453125,47.8116689453125,2248.0,,2248.0,2248.0,4.15763053288812,,4.15763053288812,4.15763053288812
DESHPDHK0000lce9,V2,26,4,99219.38034710789,48.8260966796875,2274.0,4.038624009671324,99219.38034710789,,99219.38034710789,99219.38034710789,48.8260966796875,,48.8260966796875,48.8260966796875,2274.0,,2274.0,2274.0,4.038624009671324,,4.038624009671324,4.038624009671324
DESHPDHK0000lce9,V2,28,1,60880.9650208829,39.62053759765625,2394.0,5.005813036072723,60880.9650208829,,60880.9650208829,60880.9650208829,39.62053759765625,,39.62053759765625,39.62053759765625,2394.0,,2394.0,2394.0,5.005813036072723,,5.005813036072723,5.005813036072723
DESHPDHK0000lce9,V2,28,2,57257.45850486027,39.4167119140625,2513.0,5.093173098991395,57257.45850486027,,57257.45850486027,57257.45850486027,39.4167119140625,,39.4167119140625,39.4167119140625,2513.0,,2513.0,2513.0,5.093173098991395,,5.093173098991395,5.093173098991395
DESHPDHK0000lce9,V2,28,3,56155.93411714774,40.58112939453125,2461.0,5.068212444060271,56155.93411714774,,56155.93411714774,56155.93411714774,40.58112939453125,,40.58112939453125,40.58112939453125,2461.0,,2461.0,2461.0,5.068212444060271,,5.068212444060271,5.068212444060271
DESHPDHK0000lce9,V2,28,4,59699.29120030189,38.67416259765625,2492.0,5.0676142598189,59699.29120030189,,59699.29120030189,59699.29120030189,38.67416259765625,,38.67416259765625,38.67416259765625,2492.0,,2492.0,2492.0,5.0676142598189,,5.0676142598189,5.0676142598189
DESHPDHK0000lce9,V2,30,1,128006.11869966782,55.05116015625,2312.0,4.759073972184969,128006.11869966782,,128006.11869966782,128006.11869966782,55.05116015625,,55.05116015625,55.05116015625,2312.0,,2312.0,2312.0,4.759073972184969,,4.759073972184969,4.759073972184969
DESHPDHK0000lce9,V2,23,4,104039.15782385804,49.84820703125,2189.0,4.094603750235198,104039.15782385804,,104039.15782385804,104039.15782385804,49.84820703125,,49.84820703125,49.84820703125,2189.0,,2189.0,2189.0,4.094603750235198,,4.094603750235198,4.094603750235198
DESHPDHK0000lce9,V2,30,3,123520.67511580704,53.113294921875,2324.0,4.854278191735302,123520.67511580704,,123520.67511580704,123520.67511580704,53.113294921875,,53.113294921875,53.113294921875,2324.0,,2324.0,2324.0,4.854278191735302,,4.854278191735302,4.854278191735302
DESHPDHK0000lce9,V2,59,4,95554.15431943318,48.09450830078125,2371.0,3.7743571690399498,95554.15431943318,,95554.15431943318,95554.15431943318,48.09450830078125,,48.09450830078125,48.09450830078125,2371.0,,2371.0,2371.0,3.7743571690399498,,3.7743571690399498,3.7743571690399498
