region,assigned_zone,iou,coverage,fragmentation,purity,gt_area,pred_area,area_error_percent,centroid_distance,similarity_score,building_id
S1,1.0,0.7364224266890783,1.0000000000000002,1,0.7539825752880223,10.871631654471344,13.976913447414573,28.563162289131384,0.278743314280034,0.7898347247647098,1827
A0,1.0,0.8608402909448559,0.9969775872010502,1,0.8803446578142512,82.32537092739237,91.16853502283202,10.741723961667851,0.5883931080144161,0.888856007867898,1925
A1,2.0,0.8521387678128719,0.9948541252802724,2,0.9746065431153814,102.73691318451095,91.86680510724042,10.580528205814687,0.6410759073343624,0.8835911657085401,1925
S0,,0.0,1.0000000000000002,1,0.0,10.70235138463158,0.0,100.0,,0.0,1925
A0,2.0,0.8739269836638228,0.997149323936594,2,0.9977431037803196,104.04743292959336,91.3160584551128,12.236125501621558,0.5974429583440761,0.8914371041192555,1934
A1,1.0,0.876220657878593,0.9965452697448944,1,0.8880695574037283,87.79184178185861,97.37421509413932,10.914879011298767,0.6385028065867562,0.8948605612463807,1934
S0,0.0,0.7553209056153398,1.0000000000000002,1,0.7584887270856643,10.007502568206077,13.121448953353172,31.11611877113211,0.1839480461214155,0.7952714547268042,1934
A0,3.0,0.3942778217768366,0.9987281625453184,2,0.5505065009548814,63.05274369929629,66.59938823184723,5.624885333246043,3.8362623362268,0.5871701391496332,1943
A1,1.0,0.6228500219107872,0.9971695480584374,2,0.9792782650377594,107.5715133780524,69.33244966554614,35.54757436396549,2.160898213450777,0.6685336197092104,1943
A2,4.0,0.6441585590689438,0.9962501470142237,2,0.991964821132148,90.21859164476166,58.893121388674885,34.72174602262882,1.874475167496548,0.6884130352904861,1943
S0,0.0,0.5828045326749199,1.0,2,0.6602741533820446,11.28206825594354,14.22349002517738,26.071653729663108,0.2795747210611068,0.7192337639867745,1943
A0,2.0,0.8911681757264829,0.9983698299020246,2,0.9487649265606224,66.15333127829129,65.2788849998482,1.321847685590467,0.2646518465781488,0.9356631724848116,1953
A1,1.0,0.937822354211576,0.9962813181390648,1,0.9960760708447006,68.16938651116143,64.42062106268976,5.499191998534245,0.273137124276006,0.948334769002552,1953
S0,0.0,0.6799768543807949,1.0000000000000002,1,0.6826668935719205,10.33162743082838,15.047016935211944,45.64033629700376,0.4081221094161546,0.7156845337124842,1953
A0,5.0,0.3196074618468186,0.9917746508986784,4,0.9622452561921032,121.94247187811804,41.01726310887342,66.36343147950097,3.739547018923718,0.4004064767515639,1976
A1,4.0,0.7703889441220235,0.9921805334755068,1,0.7933374239213454,116.9739763699446,142.10951121762412,21.48814260035523,1.9558422371902289,0.782578059630368,1976
A2,2.0,0.554354515651718,0.9949628987167388,3,0.8763687955367604,54.82021612763935,37.61894334738802,31.377608472394847,1.0876376329138189,0.6715422958220264,1976
S0,1.0,0.7642218457423198,0.9999999999999996,1,0.7842364178475455,13.563124574375754,16.735798577514895,23.39191080743402,0.2007159357443654,0.8186132474589658,1976
A0,4.0,0.9263744339028528,0.9995047293635028,2,0.9982827773287396,83.15387124231074,77.28728781755113,7.055093571848701,0.4148504352071021,0.9351782221416268,1996
A1,5.0,0.9247769101295712,0.9992451908139516,1,0.9310311023447696,72.4421398026002,77.24738917113501,6.633223951734153,0.327647705299992,0.9376142025529504,1996
A2,3.0,0.921990582165376,0.9982151330142514,2,0.994734484607718,82.54108019702744,76.8801465000718,6.858322769029507,0.3981814355954177,0.9338949482702288,1996
A3,2.0,0.9169835346672484,0.9993398030531396,1,0.9211805066377586,72.23497124984367,78.02796734494494,8.019655846563117,0.3770785368212361,0.9290156642966856,1996
S0,1.0,0.9073714385457858,0.9999999999999996,1,0.942745818424548,11.170680750241678,11.378551244416403,1.8608578906010744,0.0755387181949184,0.9471451065915172,1996
S1,0.0,0.8689780238867726,1.0,1,0.8943804135096695,11.104818590487616,12.02323892703108,8.27046681636189,0.1268863215884058,0.9106406868627714,1996
A0,1.0,0.9773435416039716,0.9974817294697312,1,0.9797610324794436,76.58902255962893,77.97426938673212,1.808675422152952,0.0687317408696606,0.982431788724862,2018
A1,2.0,0.972263307437762,0.9961527929680972,1,0.9761565419921018,76.42732557829812,77.97426938160315,2.02407161522382,0.0907807061379376,0.9788019570273728,2018
S0,0.0,0.7678091373918924,1.0,3,0.9786714217383008,13.030063437856697,10.396604228926144,20.21063996725812,0.3426703400265387,0.8248112102771374,2018
A0,2.0,0.8173343854170156,0.9966273137348668,1,0.8234433797078091,59.89787900746179,72.08641864915045,20.34886684413361,0.7839102925491446,0.8381972682844452,2030
A1,1.0,0.8249913030931598,0.9982117457152996,2,0.9919751044417326,86.55574674027874,72.46907430909523,16.274681880398205,0.7197737430402447,0.8538146032695783,2030
S0,,0.0,1.0000000000000002,2,0.0,12.682449876560588,0.0,100.0,,0.0,2030
A0,2.0,0.8968109372132061,0.9959403646943767,2,0.9876994445519433,97.34530994222104,89.38587450172137,8.176496068710403,0.5363539031300845,0.914555380856575,2049
A1,1.0,0.8951067154446639,0.9952321094645142,1,0.9001581467120762,81.21265440340075,89.6583320016929,10.399460109185265,0.5103454986852383,0.908796069982238,2049
S0,0.0,0.867711974825183,1.0,2,0.9439234852378272,12.364438757954732,11.983902993387057,3.0776630627318764,0.0358045613582877,0.9252667157218046,2049
A0,2.0,0.8078520431863067,0.9982739701984168,3,0.9979600778299704,115.70964916656165,93.82228157332176,18.91576696575533,0.8056713705737648,0.8364948199144209,2136
A1,1.0,0.7702249979546028,0.9973925615156162,1,0.7717790248371263,72.48331744651279,93.67230687616016,29.23291893377156,0.7807658228304601,0.7925110560721109,2136
S0,0.0,0.2618403710148944,1.0000000000000002,2,0.4047059820665744,13.487684277135353,14.192677054972725,5.226937132807096,1.6035645667908762,0.5777637285056576,2136
A0,1.0,0.9708048280732768,0.9997095973178304,1,0.9834351077227328,79.73104950363246,80.01548696984531,0.3567461710132029,0.0212413582987679,0.983979514651636,2244
A1,2.0,0.9619186722307128,0.999796740526136,1,0.9977623306117176,82.17206174675799,79.39137863422408,3.383976321664603,0.1542234834250818,0.9686438082255678,2244
S0,0.0,0.6668188613076743,1.0,2,0.7212336979975428,10.420210186027685,12.979229888757938,24.558234978423084,0.5154727337322811,0.7591270248644724,2244
A0,1.0,0.8770076772305788,0.9927686633078994,1,0.8998525339525805,73.90047626669434,79.81464803669219,8.002887219095317,0.4013497493295776,0.9084628768343116,2389
A1,2.0,0.8855581157741541,0.9929062476112228,2,0.9912192769099636,93.70638899625165,84.3794876362597,9.953324911885185,0.4366056801458051,0.9069806036037188,2389
S0,0.0,0.7402765617538506,1.0000000000000002,1,0.7402765617538507,10.128054785660485,13.68144732512572,35.084649665365205,0.3238077940665161,0.7743314618618494,2389
A0,2.0,0.8922327816015058,0.990648620011584,1,0.9148477888603403,61.222270401348496,65.11661366792046,6.360991255375247,0.3360557637716277,0.9218125185680242,2401
A1,1.0,0.833477311831166,0.993172604010317,2,0.9784416867091555,74.80730872473987,64.91611289199595,13.222231893329369,0.6441422671267705,0.8675795195040903,2401
S0,0.0,0.3104623155454589,1.0,2,0.3844534682434326,9.988792304787903,16.039059439284994,60.57055697911576,1.3249300904280716,0.4706815130642382,2401
A0,2.0,0.835391521765395,0.9920252158942504,2,0.9811866842341554,75.29734458734528,65.15246487793665,13.47309093701242,0.6438191699423765,0.8679175542916071,2410
A1,1.0,0.895459999278416,0.9922703646209228,1,0.9154743966528074,61.16596271684677,65.22105826141754,6.629660295453656,0.3240574569863581,0.9230544124759148,2410
S0,0.0,0.3147723400114812,1.0,2,0.3902552594969437,10.106260447410296,16.040234862898572,58.71582714859522,1.3212550126528664,0.4775652268179308,2410
A0,2.0,0.8619343409024272,0.9954236063961406,3,0.9949769412827292,112.63008245009142,97.99625620937016,12.992822097245476,0.5688309584642471,0.8842643412464938,2540
