variant,building_id,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,TRY_A,6,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_1,2021,8761,1.0,1,0.8778554831407871,0.9866884014908137,TRY_A,5,294.55712551775713,1.7607089583956002,standard,True,82079.04852344513,40.5569765625,0.0,0.0,23.412162502268366,35.13613281250002,21.409997558593716,1901.0,2064.0,0.0,0.0,1901.0
V1,DESHPDHK0000lce9_1,TRY_A,6,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_2,2021,8761,1.0,1,0.8778554831407871,0.9866884014908137,TRY_A,5,294.55712551775713,1.7607089583956002,standard,True,78911.33601287079,40.2113515625,0.0,0.0,23.44402066629074,35.22664794921877,21.409997558593716,1934.0,2009.0,0.0,0.0,1934.0
V1,DESHPDHK0000lce9_1,TRY_A,6,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_3,2021,8761,1.0,1,0.8778554831407871,0.9866884014908137,TRY_A,5,294.55712551775713,1.7607089583956002,standard,True,78619.03230871844,40.22552734375,0.0,0.0,23.440096121767247,35.20903930664065,21.409997558593716,1935.0,2003.0,0.0,0.0,1935.0
V1,DESHPDHK0000lce9_1,TRY_A,9,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_1,2021,8761,1.0,1,1.187003892973684,0.9303301432552608,TRY_A,5,294.16986718220073,1.7309759242710185,standard,True,69185.27311663056,39.50341796875,0.0,0.0,23.475234422094836,35.7307067871094,21.020013427734398,2139.0,2449.0,0.0,0.0,2139.0
V1,DESHPDHK0000lce9_1,TRY_A,9,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_2,2021,8761,1.0,1,1.187003892973684,0.9303301432552608,TRY_A,5,294.16986718220073,1.7309759242710185,standard,True,66292.86249040627,39.3565234375,0.0,0.0,23.50798440233731,35.7890563964844,21.020013427734398,2159.0,2446.0,0.0,0.0,2159.0
V1,DESHPDHK0000lce9_1,TRY_A,9,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_3,2021,8761,1.0,1,1.187003892973684,0.9303301432552608,TRY_A,5,294.16986718220073,1.7309759242710185,standard,True,66053.53041286659,39.444734375,0.0,0.0,23.50424295979922,35.7941833496094,21.020013427734398,2169.0,2394.0,0.0,0.0,2169.0
V1,DESHPDHK0000lce9_1,TRY_A,5,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_3,2021,8761,1.0,1,1.157248448528879,1.1113533988295048,TRY_A,5,294.02229928267036,1.3248120574773004,standard,True,63026.42831426239,38.94587109375,0.0,0.0,23.436778316578373,35.78676757812502,20.869989013671898,2181.0,1550.0,0.0,0.0,2181.0
V1,DESHPDHK0000lce9_1,TRY_A,19,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_1,2021,8761,1.0,1,0.8029449079004023,1.1147697510008554,TRY_A,5,294.6235494851678,1.0958892754048333,retrofit,False,30418.59996325493,26.12133203125,0.0,0.0,23.953507296324155,35.1553894042969,21.469995117187523,2387.0,1312.0,0.0,0.0,2387.0
V1,DESHPDHK0000lce9_1,TRY_A,10,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_1,2021,8761,1.0,1,0.9481838824139476,0.9878223245103231,TRY_A,5,294.28653069195923,1.598985319869216,standard,True,76246.11226944947,39.77512109375,0.0,0.0,23.325327142446163,35.27639160156252,21.140008544921898,1952.0,2385.0,0.0,0.0,1952.0
V1,DESHPDHK0000lce9_1,TRY_A,15,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0015\seed_3,2021,8761,1.0,1,0.9249466565528164,1.1329039205580804,TRY_A,5,293.7933835247956,1.0197474106288174,retrofit,False,18722.811277314664,21.661185546875,0.0,0.0,23.813179948082023,35.49501953125002,20.640008544921898,2579.0,1344.0,0.0,0.0,2579.0
