building_id,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_meanTair_gt_26C_mean,overheating_hours_meanTair_gt_26C_std,overheating_hours_meanTair_gt_26C_min,overheating_hours_meanTair_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max,weather_key,wwr_factor,gains_scale,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,n_zones
DESHPDHK0000lce9_1,V2,1,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,2,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,3,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,4,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,5,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,6,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,7,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,8,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,9,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,10,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,11,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,12,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V2,10,,,,,,,,,,,,,,,,,,,,,,,,,
