building_id,n_gt_regions,n_pred_regions,zone_count_diff,false_negatives,false_positives,region_recall,region_precision,topology_correct,n_gt_core_apartment_edges,n_pred_core_apartment_edges,n_missing_core_apartment_edges,n_extra_core_apartment_edges,mean_iou_overall,mean_iou_matched,mean_area_error,mean_centroid_distance,mean_fragmentation,diagnosis
23871,3,3,0,1,1,0.6666666666666666,0.6666666666666666,0.0,2,0,2,0,0.5925987433815073,0.888898115072261,11.452879517107164,0.480633836053661,1.6666666666666667,Structural mismatch
24153,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7746031347837677,0.7746031347837677,21.861610707563568,0.9161416046520068,1.6666666666666667,Good geometric match
24173,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.764133748,0.764133748,23.23659354617075,0.9744456271830212,1.6666666666666667,Good geometric match
24288,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9045164645335074,0.9045164645335074,11.76468635985713,0.1781767946867753,1.0,Good geometric match
24472,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8376051506456514,0.8376051506456514,13.734466375644097,0.4265642522369128,1.3333333333333333,Good geometric match
24476,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8366761593353321,0.8366761593353321,13.692787074311465,0.4219332719415563,1.3333333333333333,Good geometric match
24501,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8761858641239998,0.8761858641239998,2.838496889616898,0.1937958985367895,1.6666666666666667,Good geometric match
24542,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.814970311,0.814970311,10.925120283333522,0.4870083269163487,2.0,Good geometric match
24966,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.90691217,0.90691217,9.306608367,0.3049915189241196,1.3333333333333333,Good geometric match
25184,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8240102295911638,0.8240102295911638,21.12753214424486,0.384680324,1.3333333333333333,Good geometric match
25307,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8967628344563717,0.8967628344563717,8.517016883051399,0.1856263639323089,1.0,Good geometric match
25320,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8953923472190964,0.8953923472190964,8.657685617683942,0.1732319765423138,1.0,Good geometric match
25947,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8649976752349534,0.8649976752349534,1.1163952301119766,0.2546311936840165,1.6666666666666667,Good geometric match
26170,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9103466643087942,0.9103466643087942,5.840676044059218,0.3234133871750463,1.3333333333333333,Good geometric match
26175,3,3,0,1,1,0.6666666666666666,0.6666666666666666,0.0,2,0,2,0,0.5681911337535989,0.8522867006303982,12.16989121618943,0.4998004154007902,1.6666666666666667,Structural mismatch
26471,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8371960864006729,0.8371960864006729,17.26797070909741,0.3293536064575671,1.3333333333333333,Good geometric match
26593,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.78559737,0.78559737,6.866186061063286,0.5721992808918359,2.0,Good geometric match
