base_building_group,building_id,variant,sample_id,seed,peak_heating_kW
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,17,3,85.45644091796875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,0,2,77.7696181640625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,16,3,73.99549169921875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,16,1,74.0123193359375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,12,3,89.79064453125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,12,2,89.96606787109376
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,12,1,89.99115478515625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,17,1,85.6078037109375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,11,2,79.1555810546875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,11,3,79.2452666015625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,0,1,77.89425927734375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,19,3,30.788741088867187
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,10,1,50.46945776367188
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,9,1,53.92522729492188
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,6,3,48.35263818359375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,6,2,48.5404755859375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,6,1,49.633111083984375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,5,3,49.12171826171875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,2,1,45.38635620117188
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,4,3,50.2870830078125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,4,1,50.437380615234375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,2,3,44.58706005859375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,2,2,44.528939453125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,9,2,51.8329921875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,5,1,50.05469140625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,5,2,48.8987431640625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,4,2,50.24250732421875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,9,3,51.9037490234375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,14,2,46.57632543945312
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,14,1,47.48710473632813
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,10,2,48.943927734375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,10,3,48.92746166992188
