base_building_group,building_id,variant,sample_id,seed,overheating_hours_any_zone_gt_26C
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,14,3,2524.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,15,1,2811.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,15,2,2747.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,15,3,2840.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,13,3,2447.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,3,3,135.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,0,3,180.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,1,1,104.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,1,2,131.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,3,1,125.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,1,3,99.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,8,1,186.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,7,2,207.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,7,3,175.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,8,2,192.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,8,3,206.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,0,1,189.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,7,1,172.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,16,1,174.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,11,3,65.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,11,2,72.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,18,3,27.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,18,1,25.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,17,3,108.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,17,2,111.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,16,3,195.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,16,2,194.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,17,1,93.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,0,2,173.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,12,3,142.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,12,2,138.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,12,1,113.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,11,1,68.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,3,2,142.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,18,2,42.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,10,2,2365.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,5,2,2631.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,9,3,2631.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,9,1,2641.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,6,3,2368.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,6,2,2346.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,6,1,2367.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,5,3,2668.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,5,1,2638.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,2,3,2474.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,4,1,2459.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,2,2,2408.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,2,1,2439.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,19,3,2616.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,4,3,2484.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,4,2,2423.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,10,1,2396.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,13,3,2550.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,10,3,2407.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,13,1,2515.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,13,2,2500.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,14,3,2660.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,14,1,2642.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,19,1,2654.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,19,2,2547.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,15,1,2817.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,15,2,2694.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,15,3,2783.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,9,2,2615.0
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,14,2,2556.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,1,3,156.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,0,3,266.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,1,1,139.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,1,2,127.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,0,2,265.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,19,2,2585.0
