variant,datetime,heat_kW,mean_tair_C,overheat_flag
V4,2021-10-18 05:00:00,17.51054256439209,21.301545021750734,0.0
V4,2021-10-18 06:00:00,15.649298049926758,21.429335992986527,0.0
V4,2021-10-18 07:00:00,13.725972511291504,21.485706121271328,0.0
V4,2021-10-18 08:00:00,10.417058925628663,21.656031660600156,0.0
V4,2021-10-18 09:00:00,7.190267791748047,21.97485989657317,0.0
V4,2021-10-18 10:00:00,4.564737113952637,22.29925342906607,0.0
V4,2021-10-18 11:00:00,3.964320960998535,22.52463129216976,0.0
V4,2021-10-18 12:00:00,5.827130340576172,22.64992120916195,0.0
V4,2021-10-18 13:00:00,5.516313316345215,22.732913762872887,0.0
V4,2021-10-18 14:00:00,4.150634365081787,22.89204489968042,0.0
V4,2021-10-18 15:00:00,2.886964153289795,22.809360296076008,0.0
V4,2021-10-18 16:00:00,6.335272903442383,22.71746909401635,0.0
V4,2021-10-18 17:00:00,8.133457321166992,22.604812067205266,0.0
V4,2021-10-18 18:00:00,9.626881271362304,22.382209916548312,0.0
V4,2021-10-18 19:00:00,9.469788543701172,22.32366471724078,0.0
V4,2021-10-18 20:00:00,8.87723013305664,22.28740844726564,0.0
V4,2021-10-18 21:00:00,9.685734100341797,22.113356989080273,0.0
V4,2021-10-18 22:00:00,10.177900711059571,21.830262062766355,0.0
V4,2021-10-18 23:00:00,10.918129640579224,21.773077670010665,0.0
V4,2021-10-19 00:00:00,13.585775817871095,21.54093877618965,0.0
V4,2021-10-19 01:00:00,13.617890090942382,21.51863320090556,0.0
V4,2021-10-19 02:00:00,14.617478866577148,21.355379416725874,0.0
V4,2021-10-19 03:00:00,14.71586533355713,21.35326399369675,0.0
V4,2021-10-19 04:00:00,15.236310615539551,21.29539156827062,0.0
V4,2021-10-19 05:00:00,15.459765731811524,21.252604536576726,0.0
V4,2021-10-19 06:00:00,13.378661972045897,21.34490495161579,0.0
V4,2021-10-19 07:00:00,13.775491485595705,21.30745710893113,0.0
V4,2021-10-19 08:00:00,10.716680969238281,21.515752064098024,0.0
V4,2021-10-19 09:00:00,10.06119430541992,21.542189996892773,0.0
V4,2021-10-19 10:00:00,8.872512413024902,21.719079589843762,0.0
V4,2021-10-19 11:00:00,7.387776702880859,21.8087166526101,0.0
V4,2021-10-19 12:00:00,6.510718978881836,22.018269764293343,0.0
V4,2021-10-19 13:00:00,6.8696952667236335,21.905275656960246,0.0
V4,2021-10-19 14:00:00,6.626511695861817,21.896069058504985,0.0
V4,2021-10-19 15:00:00,7.790302276611328,21.74651627974078,0.0
V4,2021-10-19 16:00:00,9.556085250854492,21.54259227405896,0.0
V4,2021-10-19 17:00:00,9.532813446044923,21.538777576793343,0.0
V4,2021-10-19 18:00:00,10.702089065551757,21.44686279296877,0.0
V4,2021-10-19 19:00:00,12.943858825683595,21.285069691051156,0.0
V4,2021-10-19 20:00:00,13.716369018554687,21.299992786754284,0.0
V4,2021-10-19 21:00:00,16.178890190124513,21.20291914506394,0.0
V4,2021-10-19 22:00:00,17.527188163757323,21.17432556152346,0.0
V4,2021-10-19 23:00:00,18.01727924346924,21.11317110928624,0.0
V4,2021-10-20 00:00:00,19.19718064880371,21.043812977183972,0.0
V4,2021-10-20 01:00:00,20.179957412719727,21.02246454412289,0.0
V4,2021-10-20 02:00:00,22.295104461669922,20.97978016246451,0.0
V4,2021-10-20 03:00:00,24.28516619873047,20.939311079545472,0.0
V4,2021-10-20 04:00:00,23.86798928833008,20.922838523171187,0.0
V4,2021-10-20 05:00:00,25.038949798583985,20.91083124334164,0.0
V4,2021-10-20 06:00:00,23.18571356201172,20.909580022638515,0.0
V4,2021-10-20 07:00:00,19.138220275878908,20.954786265980136,0.0
V4,2021-10-20 08:00:00,14.718585838317871,20.976914284446046,0.0
V4,2021-10-20 09:00:00,8.659612629890443,21.115160300514937,0.0
V4,2021-10-20 10:00:00,5.281410615444184,21.308534934304,0.0
V4,2021-10-20 11:00:00,4.889206497192383,21.57684964266692,0.0
V4,2021-10-20 12:00:00,5.927399925231933,21.59666109952061,0.0
V4,2021-10-20 13:00:00,5.075072326660156,21.741701438210246,0.0
V4,2021-10-20 14:00:00,5.050449172973632,21.83415166681465,0.0
V4,2021-10-20 15:00:00,3.2834524993896483,21.857536454634243,0.0
V4,2021-10-20 16:00:00,3.853330638885498,21.738670487837382,0.0
V4,2021-10-20 17:00:00,6.115565017700195,21.597007890181125,0.0
V4,2021-10-20 18:00:00,7.493306350708007,21.50171536532317,0.0
V4,2021-10-20 19:00:00,9.460150375366212,21.485912808504985,0.0
V4,2021-10-20 20:00:00,11.776549545288086,21.470348843661235,0.0
V4,2021-10-20 21:00:00,13.200721885681151,21.42411055131394,0.0
V4,2021-10-20 22:00:00,13.731591281890868,21.36285761052914,0.0
V4,2021-10-20 23:00:00,15.3854580078125,21.250208906693906,0.0
V4,2021-10-21 00:00:00,16.968520584106443,21.13161066228695,0.0
V4,2021-10-21 01:00:00,18.74491944885254,21.020916470614367,0.0
V4,2021-10-21 02:00:00,19.325890838623046,20.9665632768111,0.0
V4,2021-10-21 03:00:00,19.24811149597168,20.95832075639207,0.0
V4,2021-10-21 04:00:00,20.97480471801758,20.927671397816074,0.0
V4,2021-10-21 05:00:00,20.511477294921875,20.91538807262076,0.0
V4,2021-10-21 06:00:00,17.91079818725586,20.91107677112928,0.0
V4,2021-10-21 07:00:00,17.111670806884767,20.928260941938937,0.0
V4,2021-10-21 08:00:00,13.162517860412597,20.954074651544765,0.0
V4,2021-10-21 09:00:00,8.246977249145509,21.10423916903411,0.0
V4,2021-10-21 10:00:00,3.965182319641113,21.41866038929334,0.0
V4,2021-10-21 11:00:00,2.9884466781616212,21.63150939941407,0.0
V4,2021-10-21 12:00:00,2.6096460131406785,21.748877230557543,0.0
V4,2021-10-21 13:00:00,1.966851848602295,21.837215909090926,0.0
V4,2021-10-21 14:00:00,1.381983699798584,21.98771889426493,0.0
V4,2021-10-21 15:00:00,1.4519239807128907,22.05852244984021,0.0
V4,2021-10-21 16:00:00,2.7625673046112063,21.89916104403411,0.0
V4,2021-10-21 17:00:00,4.064678806304932,21.727480246803992,0.0
V4,2021-10-21 18:00:00,5.654893775939941,21.610005604137086,0.0
V4,2021-10-21 19:00:00,8.30366410636902,21.449066994406977,0.0
V4,2021-10-21 20:00:00,9.404297012329103,21.40815263227985,0.0
V4,2021-10-21 21:00:00,11.97522095489502,21.243801602450304,0.0
V4,2021-10-21 22:00:00,14.874229646682739,21.12068259499292,0.0
V4,2021-10-21 23:00:00,16.82380740356445,21.089027543501444,0.0
V4,2021-10-22 00:00:00,18.980732421875,21.072660411487952,0.0
V4,2021-10-22 01:00:00,17.806639465332033,21.063596690784824,0.0
V4,2021-10-22 02:00:00,18.466359512329102,21.055753673206702,0.0
V4,2021-10-22 03:00:00,16.03576600646973,21.048673595081695,0.0
V4,2021-10-22 04:00:00,18.29816668701172,21.033593750000023,0.0
V4,2021-10-22 05:00:00,17.492929275512694,21.019014670632124,0.0
V4,2021-10-22 06:00:00,12.991246063232422,21.12832724831323,0.0
V4,2021-10-22 07:00:00,13.257305419921874,21.028407148881413,0.0
V4,2021-10-22 08:00:00,13.398532417297364,21.071273248845905,0.0
V4,2021-10-22 09:00:00,7.579266668319702,21.227879749644902,0.0
V4,2021-10-22 10:00:00,4.843116065979004,21.371136197176867,0.0
V4,2021-10-22 11:00:00,4.352880744934081,21.473186978426867,0.0
V4,2021-10-22 12:00:00,4.459675323486328,21.554340154474453,0.0
V4,2021-10-22 13:00:00,3.181229419708252,21.737499722567495,0.0
V4,2021-10-22 14:00:00,3.376090835571289,21.684128639914796,0.0
V4,2021-10-22 15:00:00,4.069785400390625,21.66931096857246,0.0
V4,2021-10-22 16:00:00,4.0568951301574705,21.620926735617914,0.0
V4,2021-10-22 17:00:00,5.0298763885498055,21.515728482333117,0.0
V4,2021-10-22 18:00:00,5.702216175079346,21.43649097789419,0.0
V4,2021-10-22 19:00:00,7.10235220336914,21.423002208362945,0.0
