variant,building_id,weather_key,trajectory_id,seed,param,param_index,kpi,dx_unit,elementary_effect
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,yoc_shift,4,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,yoc_shift,4,peak_heat_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,yoc_shift,4,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,shadingFactor,6,heat_demand_kWh,0.19999999999999996,-16612.93328430897
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,shadingFactor,6,cool_demand_kWh,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,shadingFactor,6,peak_heat_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,shadingFactor,6,peak_cool_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,baseACH,5,heat_demand_kWh,-0.20000000000000007,-84352.47263764145
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,baseACH,5,cool_demand_kWh,-0.20000000000000007,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,baseACH,5,peak_heat_kW,-0.20000000000000007,-1.6500976562499754
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,baseACH,5,peak_cool_kW,-0.20000000000000007,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,wwr_factor,0,heat_demand_kWh,-0.2,-955.2285064029275
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,wwr_factor,0,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,wwr_factor,0,peak_heat_kW,-0.2,2.216093749999999
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,wwr_factor,0,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,tset_mean_C,2,heat_demand_kWh,0.20000000000000007,21970.443630495276
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,tset_mean_C,2,cool_demand_kWh,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,tset_mean_C,2,peak_heat_kW,0.20000000000000007,2.26099609374998
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,tset_mean_C,2,peak_cool_kW,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,baseACH,5,heat_demand_kWh,-0.2,40578.18921753409
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,baseACH,5,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,baseACH,5,peak_heat_kW,-0.2,9.708964843749968
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,baseACH,5,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,gWin,7,heat_demand_kWh,-0.2,-9605.449670386297
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,gWin,7,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,gWin,7,peak_heat_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,gWin,7,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,hConWin,9,heat_demand_kWh,-0.2,3427.3084197998105
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,hConWin,9,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,hConWin,9,peak_heat_kW,-0.2,1.0110546875000281
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,hConWin,9,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,shadingFactor,6,heat_demand_kWh,0.19999999999999996,-11339.755210475852
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,shadingFactor,6,cool_demand_kWh,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,shadingFactor,6,peak_heat_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,shadingFactor,6,peak_cool_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,gains_scale,1,heat_demand_kWh,-0.19999999999999996,-5982.8560437964925
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,gains_scale,1,cool_demand_kWh,-0.19999999999999996,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,gains_scale,1,peak_heat_kW,-0.19999999999999996,-0.20861328125000972
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,gains_scale,1,peak_cool_kW,-0.19999999999999996,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,yoc_shift,4,heat_demand_kWh,0.2,-77660.08886362077
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,yoc_shift,4,cool_demand_kWh,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,yoc_shift,4,peak_heat_kW,0.2,-4.149687499999999
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,yoc_shift,4,peak_cool_kW,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,UWin,8,heat_demand_kWh,-0.2,168.1886894989293
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,UWin,8,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,UWin,8,peak_heat_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,UWin,8,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,tset_spread_K,3,heat_demand_kWh,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,tset_spread_K,3,cool_demand_kWh,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,tset_spread_K,3,peak_heat_kW,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,tset_spread_K,3,peak_cool_kW,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,UWin,8,heat_demand_kWh,0.4000000000000001,19458.660749698825
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,UWin,8,cool_demand_kWh,0.4000000000000001,0.0
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,UWin,8,peak_heat_kW,0.4000000000000001,8.050693359374995
V1,DESHPDHK0000lce9_1,TRY_C,3,1300,UWin,8,peak_cool_kW,0.4000000000000001,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,wwr_factor,0,heat_demand_kWh,0.20000000000000007,-394.8944990194285
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,wwr_factor,0,cool_demand_kWh,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,wwr_factor,0,peak_heat_kW,0.20000000000000007,1.9315234375000039
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,wwr_factor,0,peak_cool_kW,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,hConWin,9,heat_demand_kWh,-0.2,3253.9739425967855
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,hConWin,9,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,hConWin,9,peak_heat_kW,-0.2,1.1459374999999739
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,hConWin,9,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,shadingFactor,6,heat_demand_kWh,-0.2,-16016.521678028075
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,shadingFactor,6,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,shadingFactor,6,peak_heat_kW,-0.2,-7.812499998038902e-05
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,shadingFactor,6,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,tset_spread_K,3,heat_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,tset_spread_K,3,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,tset_spread_K,3,peak_heat_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,tset_spread_K,3,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,UWin,8,heat_demand_kWh,-0.19999999999999996,138.16487051022708
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,UWin,8,cool_demand_kWh,-0.19999999999999996,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,UWin,8,peak_heat_kW,-0.19999999999999996,0.0027148437499846527
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,UWin,8,peak_cool_kW,-0.19999999999999996,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,gWin,7,heat_demand_kWh,-0.2,-7028.843972225295
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,gWin,7,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,gWin,7,peak_heat_kW,-0.2,-0.13908203124998408
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,gWin,7,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,tset_mean_C,2,heat_demand_kWh,0.2,22346.698373763793
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,tset_mean_C,2,cool_demand_kWh,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,tset_mean_C,2,peak_heat_kW,0.2,2.291289062500006
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,tset_mean_C,2,peak_cool_kW,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,yoc_shift,4,heat_demand_kWh,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,yoc_shift,4,cool_demand_kWh,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,yoc_shift,4,peak_heat_kW,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,yoc_shift,4,peak_cool_kW,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,baseACH,5,heat_demand_kWh,0.19999999999999996,39928.971933948786
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,baseACH,5,cool_demand_kWh,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,baseACH,5,peak_heat_kW,0.19999999999999996,13.695117187500014
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,baseACH,5,peak_cool_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,gains_scale,1,heat_demand_kWh,-0.2,-5991.501720790839
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,gains_scale,1,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,gains_scale,1,peak_heat_kW,-0.2,-0.38554687499999574
V1,DESHPDHK0000lce9_1,TRY_C,4,1400,gains_scale,1,peak_cool_kW,-0.2,-0.0
