overall_json,variant,variant_base,building_id,weather_key,trajectory_id,point_id,changed_param,changed_dim,seed,x_unit_0,x_unit_1,x_unit_2,x_unit_3,x_unit_4,x_unit_5,x_unit_6,x_unit_7,x_unit_8,x_unit_9,heat_demand_kWh,cool_demand_kWh,peak_heat_kW,peak_cool_kW,x_unit_10,x_unit_11
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_01/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,1,wwr_factor,0.0,1300,0.2,0.8,0.4,0.2,0.2,0.2,0.6000000000000001,0.4,0.4,0.6000000000000001,187031.30004182813,0.0,54.06878125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_02/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,2,tset_mean_C,2.0,1300,0.2,0.8,0.6000000000000001,0.2,0.2,0.2,0.6000000000000001,0.4,0.4,0.6000000000000001,191425.3887679272,0.0,54.52098046875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_03/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,3,baseACH,5.0,1300,0.2,0.8,0.6000000000000001,0.2,0.2,0.0,0.6000000000000001,0.4,0.4,0.6000000000000001,183309.75092442037,0.0,52.5791875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_04/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,4,gWin,7.0,1300,0.2,0.8,0.6000000000000001,0.2,0.2,0.0,0.6000000000000001,0.2,0.4,0.6000000000000001,185230.84085849763,0.0,52.5791875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_05/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,5,hConWin,9.0,1300,0.2,0.8,0.6000000000000001,0.2,0.2,0.0,0.6000000000000001,0.2,0.4,0.4000000000000001,184545.37917453767,0.0,52.3769765625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_06/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,6,shadingFactor,6.0,1300,0.2,0.8,0.6000000000000001,0.2,0.2,0.0,0.8,0.2,0.4,0.4000000000000001,182277.4281324425,0.0,52.3769765625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_07/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,7,gains_scale,1.0,1300,0.2,0.6000000000000001,0.6000000000000001,0.2,0.2,0.0,0.8,0.2,0.4,0.4000000000000001,183473.9993412018,0.0,52.41869921875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_08/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,8,yoc_shift,4.0,1300,0.2,0.6000000000000001,0.6000000000000001,0.2,0.4,0.0,0.8,0.2,0.4,0.4000000000000001,167941.98156847764,0.0,51.58876171875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_09/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,9,UWin,8.0,1300,0.2,0.6000000000000001,0.6000000000000001,0.2,0.4,0.0,0.8,0.2,0.2,0.4000000000000001,167908.34383057785,0.0,51.58876171875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_10/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,10,tset_spread_K,3.0,1300,0.2,0.6000000000000001,0.6000000000000001,0.4,0.4,0.0,0.8,0.2,0.2,0.4000000000000001,167908.34383057785,0.0,51.58876171875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_11/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,11,UWin,8.0,1300,0.2,0.6000000000000001,1.0,0.6000000000000001,0.4000000000000001,0.0,0.6000000000000001,0.4,0.6000000000000001,0.2,175691.8081304574,0.0,54.8090390625,0.0,0.6000000000000001,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_00/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,0,,,1400,0.4,0.6000000000000001,0.2,0.6000000000000001,0.4,0.6000000000000001,0.2,0.6000000000000001,0.8,0.4,188841.01699489902,0.0,56.388796875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_01/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,1,wwr_factor,0.0,1400,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,0.6000000000000001,0.2,0.6000000000000001,0.8,0.4,188762.03809509514,0.0,56.7751015625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_02/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,2,hConWin,9.0,1400,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,0.6000000000000001,0.2,0.6000000000000001,0.8,0.2,188111.24330657578,0.0,56.5459140625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_03/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,3,shadingFactor,6.0,1400,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,0.6000000000000001,0.0,0.6000000000000001,0.8,0.2,191314.5476421814,0.0,56.5459296875,0.0,,
