base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_ref,annual_heating_kWh_delta_vs_V2
DESHPDHK0000lce9,V8,15,39782.34632076481,39769.81978014442,12.526540620390733
DESHPDHK0000lce9,V8,16,209818.58354599602,207956.6990704505,1861.8844755455211
DESHPDHK0000lce9,V8,10,107529.92366083647,106324.62024281586,1205.303418020616
DESHPDHK0000lce9,V8,14,89832.05500913232,93517.17928196357,-3685.12427283125
DESHPDHK0000lce9,V8,9,118821.80565800889,109977.58684096563,8844.218817043264
DESHPDHK0000lce9,V8,4,105236.54233274411,110413.73599261284,-5177.193659868732
DESHPDHK0000lce9,V8,7,97727.50759110467,83517.59468545772,14209.912905646954
DESHPDHK0000lce9,V8,6,108434.7869231812,117326.76690892463,-8891.979985743441
DESHPDHK0000lce9,V8,5,99785.71844339588,101832.2853737989,-2046.5669304030307
DESHPDHK0000lce9,V8,3,207108.04273002912,204166.00214817465,2942.0405818544677
DESHPDHK0000lce9,V8,2,86726.53894016038,82524.85032566874,4201.688614491635
DESHPDHK0000lce9,V8,1,223822.393445453,227410.62432925074,-3588.230883797747
DESHPDHK0000lce9,V8,0,215729.88492548047,214949.47421192806,780.41071355241
DESHPDHK0000lce9,V8,18,222055.40945740519,223275.82822217516,-1220.4187647699728
DESHPDHK0000lce9,V8,8,232518.26577906715,208225.68335572165,24292.582423345506
DESHPDHK0000lce9,V8,19,44462.15015945694,40609.687685082485,3852.462474374457
