base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_meanTair_gt_26C_mean,overheating_hours_meanTair_gt_26C_std,overheating_hours_meanTair_gt_26C_min,overheating_hours_meanTair_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max,building_id,weather_key,wwr_factor,gains_scale,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,n_zones
DESHPDHK0000lce9,V7,53,78336.33005598097,1626.5467335507633,77054.74250104756,80480.33895260881,44.90654992675781,0.47588389030092104,44.49068603515625,45.50173803710938,2126.0,16.950909513454786,2107.0,2148.0,2.1144149870840385,0.09261012143281695,1.976808211613213,2.17623243363477,DESHPDHK0000lce9_7,TRY_A,1.008268960988615,0.9755645841220186,6,293.86012059585823,0.683351289718084,standard,True,10
DESHPDHK0000lce9,V7,54,101283.56168629185,1803.5257472126368,99978.57854693099,103885.00700594095,48.902564758300784,0.5804627888157825,48.362943359375,49.40468505859375,1802.0,20.510160083886852,1778.0,1827.0,3.7669371443923625,0.11304917355183963,3.6041030631246618,3.8596438410183893,DESHPDHK0000lce9_7,TRY_A,0.8086448319521322,1.1305167696777432,5,294.60312175440515,0.980570098587097,standard,True,10
DESHPDHK0000lce9,V7,55,39908.154551936444,1977.8025566532108,37959.36162825196,42003.2528968294,33.76080793762207,0.4709955423946267,33.14587548828125,34.22968658447266,2517.75,21.975364995072663,2493.0,2546.0,3.0369097898300628,0.11164396209113206,2.8853381404783103,3.1383851121759436,DESHPDHK0000lce9_7,TRY_A,1.1584643087359066,0.8560996355994444,5,294.3923298602891,1.4978451236156414,retrofit,False,10
DESHPDHK0000lce9,V7,56,206508.42183498002,2115.090114554276,204795.249628243,209212.30726495248,75.74246667480469,0.1714803977985378,75.5069423828125,75.8874775390625,9.25,1.2583057392117918,8.0,11.0,2.2848073913413987,0.031918296802212406,2.242329345257257,2.3181285999665153,DESHPDHK0000lce9_7,TRY_B,1.0216144574156198,0.8434302964541774,5,293.75980505392926,0.8530378582913738,standard,True,10
DESHPDHK0000lce9,V7,57,217059.11278447122,2056.7964166094243,214843.39345472015,219457.01020843873,79.65522924804688,0.18600074867064495,79.40093408203126,79.811720703125,17.25,1.2583057392117913,16.0,19.0,3.399280487572612,0.04976161634507974,3.3348241221917134,3.4488907548312167,DESHPDHK0000lce9_7,TRY_B,1.0688960372159246,0.9124935135356034,5,293.9583085996452,0.7401931763565632,standard,True,10
DESHPDHK0000lce9,V7,58,60105.45376178491,1776.6693449848128,58431.28858300681,62605.07868059543,62.379034912109375,0.1571569897897288,62.20448095703125,62.514630859375,159.75,9.25112605758528,146.0,166.0,3.4697674317061127,0.06159596911517185,3.411385602268533,3.544024959164061,DESHPDHK0000lce9_7,TRY_B,1.0637690538767606,1.0907978457147531,6,294.0077105461892,1.8104536598050849,retrofit,False,10
DESHPDHK0000lce9,V7,31,74645.95399210064,2173.7132567033177,72671.12655192781,77391.55917592645,79.96417590332031,0.17364283773383898,79.71076806640625,80.0820166015625,192.25,12.841988423397163,175.0,206.0,3.035465813924047,0.1022424138611801,2.8828971522296083,3.100868029159548,DESHPDHK0000lce9_7,TRY_B,1.1876705509390895,1.1115003615863177,5,294.6070057089133,1.3342991274838094,retrofit,False,10
DESHPDHK0000lce9,V7,46,256124.9814346367,2217.4196531126795,254040.27483234488,258838.83843347372,88.23620349121094,0.1583663541648189,87.99867919921876,88.31704248046876,10.0,1.8257418583505538,8.0,12.0,4.277323930642606,0.05554697205771007,4.205536870974926,4.325609053668469,DESHPDHK0000lce9_7,TRY_B,0.9387479218139348,1.0363661965925668,4,294.5525785878797,1.3871096529467135,standard,True,10
DESHPDHK0000lce9,V7,30,106205.29952067294,1482.3380101174005,104545.72811090887,107941.18649263993,51.34202398681641,0.5331367014391375,50.7703369140625,51.85820654296875,1950.0,14.787382008545888,1932.0,1968.0,3.9019832674219597,0.09950505782850214,3.753100294729929,3.9585722466198745,DESHPDHK0000lce9_7,TRY_A,1.0798828535242997,0.9063479845838078,5,294.3038444941408,1.524143260130582,standard,True,10
DESHPDHK0000lce9,V7,45,66098.31178100503,2043.3427494304058,64001.375806926626,68517.94693310019,74.82527355957032,0.14748052511711446,74.625576171875,74.93826123046875,264.0,14.142135623730951,244.0,274.0,2.8225519132184163,0.10717553242829712,2.6654608153600208,2.907092593083873,DESHPDHK0000lce9_7,TRY_B,1.1700480473507189,1.032424455880158,6,294.59088342621766,1.1113982649695373,retrofit,False,10
DESHPDHK0000lce9,V7,28,56673.04101109608,1961.7496914593485,54940.00214186955,58793.8004612537,42.936659667968755,0.6317208835514202,42.255229736328126,43.776371826171875,2183.0,21.893682498230753,2155.0,2208.0,2.094280047417232,0.07736123934672515,1.992416327844104,2.172654042953145,DESHPDHK0000lce9_7,TRY_A,0.8350599677264404,0.8472023608482062,5,294.6329269092999,0.9938680934259374,retrofit,False,10
DESHPDHK0000lce9,V7,0,87322.58141837444,1693.4479360876092,85602.62651985693,89512.09551697201,48.232720703125,0.7010326317520275,47.58580981445313,49.0185908203125,2016.0,23.252240035460403,1989.0,2045.0,2.5047504149429223,0.13265002866385098,2.31300230519356,2.6117011841921047,DESHPDHK0000lce9_7,TRY_A,1.133071278423135,1.0801060408008996,5,294.16835551224983,0.9950452772842244,standard,True,10
DESHPDHK0000lce9,V7,1,214304.7537507641,2218.1959357803526,212541.8874041546,217298.65134791893,77.21470434570313,0.17905089563023557,76.96276025390625,77.34733251953125,8.5,1.7320508075688776,6.0,10.0,4.826912426129418,0.05177749721137569,4.757211041415124,4.874201286602424,DESHPDHK0000lce9_7,TRY_B,0.9249466565528164,1.1329039205580804,5,293.6614166166424,1.9434068520031045,standard,True,10
DESHPDHK0000lce9,V7,2,76280.97287214728,1549.0470403149495,75035.27719760528,78276.79660760236,45.22146008300781,0.4807314778418556,44.84650927734375,45.891225341796876,2219.25,16.378339354159245,2199.0,2239.0,2.388795241987361,0.1009645941084109,2.244764213270282,2.4604214112136256,DESHPDHK0000lce9_7,TRY_A,1.1219057429987207,0.9549913516120698,6,293.9038403001458,1.1324462823746604,standard,True,10
DESHPDHK0000lce9,V7,3,87467.02618439938,1680.4542914360968,86074.58588667065,89770.87841849368,46.471085021972655,0.834849131284306,45.793060302734375,47.5182529296875,1897.75,17.576025337563312,1877.0,1920.0,2.10577793946456,0.14300980654380227,1.8923142686471028,2.1900814436516516,DESHPDHK0000lce9_7,TRY_A,0.9153312415720977,1.0729982015899902,5,293.7251811832662,0.5116085777850673,standard,True,10
DESHPDHK0000lce9,V7,4,245547.65930757916,2013.7699969574558,243782.26618824416,248037.81426862217,83.24526342773437,0.17871567793498602,82.997333984375,83.38472802734375,3.5,1.0,2.0,4.0,2.2394237206986665,0.03139773610236053,2.192370230660919,2.2565334438937477,DESHPDHK0000lce9_7,TRY_B,0.855900993443724,0.8799632809900434,4,293.6704711861492,1.2285480631851473,standard,True,10
DESHPDHK0000lce9,V7,5,240944.87771959143,2272.1058100414525,239030.4949101845,243811.2474771217,85.27071557617188,0.17345790734476974,85.0112783203125,85.36879248046876,6.25,1.2583057392117916,5.0,8.0,4.505514685904386,0.04165748418819995,4.447554808748278,4.541022567304933,DESHPDHK0000lce9_7,TRY_B,0.8029449079004023,1.1147697510008554,5,294.02229928267036,1.3248120574773004,standard,True,10
DESHPDHK0000lce9,V7,6,229635.2441576824,2333.341189370817,227144.67764984243,232605.16811272711,85.63294946289062,0.16234849731558834,85.39021826171874,85.728513671875,31.5,5.744562646538029,25.0,39.0,4.439250073902633,0.045366149819880984,4.374913992749519,4.481434144898649,DESHPDHK0000lce9_7,TRY_B,1.0659403426368128,1.082066151450534,5,294.55712551775713,1.7607089583956002,standard,True,10
DESHPDHK0000lce9,V7,29,206382.1515343974,2023.4137473908784,204637.67875436094,209029.54258789826,77.73883654785156,0.18545301436565786,77.483923828125,77.88116845703125,40.75,8.05708797684788,34.0,52.0,3.458858365025263,0.05970935875053254,3.375462797104177,3.50646590185062,DESHPDHK0000lce9_7,TRY_B,1.1847590658198057,1.163432276283043,5,293.7593387812915,0.9411610476466669,standard,True,10
DESHPDHK0000lce9,V7,8,236767.42872102596,2540.7144410376804,234467.54907494204,239658.0405330034,86.275345703125,0.14848326765919587,86.05983447265625,86.39527294921875,16.75,2.5,14.0,20.0,5.409771700997207,0.06380131342460842,5.321814201014484,5.461893169401771,DESHPDHK0000lce9_7,TRY_B,1.0274964783811575,0.8559187992510631,5,294.3277485562038,1.5074822679197077,standard,True,10
DESHPDHK0000lce9,V7,9,259222.51652763318,2361.9428975361307,257200.88021402646,262182.9266374503,95.4352763671875,0.14627086420534313,95.28071044921874,95.56708740234374,12.0,1.1547005383792515,11.0,13.0,3.3200733623280403,0.02949526016388613,3.2921641462674605,3.3609986668266596,DESHPDHK0000lce9_7,TRY_B,0.8458120294143894,1.0673611847161886,5,294.16986718220073,1.7309759242710185,standard,True,10
DESHPDHK0000lce9,V7,10,102961.00772021303,1759.3787368627895,101229.25329280095,105274.66254859848,50.0542431640625,0.7964607439354079,49.368630859375,50.97209326171875,1919.5,20.141168453361036,1894.0,1943.0,2.901279907958066,0.1212084156879053,2.7339286965303895,3.0196014045512434,DESHPDHK0000lce9_7,TRY_A,0.988438482457253,1.0260944425924756,5,294.28653069195923,1.598985319869216,standard,True,10
DESHPDHK0000lce9,V7,11,218678.6358263352,2407.199731944555,216394.9398408775,221884.27231154375,81.43975207519532,0.15426662504033722,81.22148681640626,81.55799951171875,31.5,7.416198487095663,23.0,41.0,3.433131470172431,0.04123720452454788,3.3952839135878734,3.489798922147426,DESHPDHK0000lce9_7,TRY_B,1.1059995429664102,1.0538873280002363,5,294.11782458525266,1.316099493250095,standard,True,10
DESHPDHK0000lce9,V7,12,236987.96876703954,2281.4603888316487,234737.6205136143,239754.28050026865,94.10097326660156,0.14151437865024313,93.9660732421875,94.2253505859375,19.5,3.1091263510296057,17.0,24.0,2.5283861703462405,0.010664630460032585,2.521981699011432,2.544327093985874,DESHPDHK0000lce9_7,TRY_B,1.0214317602631984,1.0236828642981655,5,294.6250130173052,1.1492705082649117,standard,True,10
DESHPDHK0000lce9,V7,13,235031.7049531661,2124.1597096368205,233018.89384401936,237632.4259392116,84.47748510742187,0.1316973624791674,84.28731591796875,84.5798115234375,7.75,0.9574271077563381,7.0,9.0,2.5511858134274754,0.01796297834987898,2.5315288138327126,2.5700833551715934,DESHPDHK0000lce9_7,TRY_B,0.9215800392250448,0.8123271338271758,5,294.41331053736974,0.925296360898044,standard,True,10
