variant,building_id,base_building_group,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,1,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_3,2021,8761,1.0,1,0.9249466565528164,1.1329039205580804,TRY_B,5,293.6614166166424,1.9434068520031045,standard,True,162537.25646318626,57.38165234375,0.0,0.0,20.932364877736312,27.201898193359398,20.510003662109394,12.0,3161.0,0.0,0.0,12.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,1,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_4,2021,8761,1.0,1,0.9249466565528164,1.1329039205580804,TRY_B,5,293.6614166166424,1.9434068520031045,standard,True,163766.32132241916,57.00621484375,0.0,0.0,20.949530512088394,27.602258300781273,20.510003662109394,17.0,3174.0,0.0,0.0,17.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,4,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0004\seed_1,2021,8761,1.0,1,0.855900993443724,0.8799632809900434,TRY_B,4,293.6704711861492,1.2285480631851473,standard,True,187869.27552479552,58.3743046875,0.0,0.0,20.837092071139605,26.190454101562523,20.520013427734394,3.0,4092.0,0.0,0.0,3.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,4,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0004\seed_2,2021,8761,1.0,1,0.855900993443724,0.8799632809900434,TRY_B,4,293.6704711861492,1.2285480631851473,standard,True,184056.0125612335,58.21827734375,0.0,0.0,20.852594586309152,26.611932373046898,20.520013427734394,5.0,4049.0,0.0,0.0,5.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,4,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0004\seed_3,2021,8761,1.0,1,0.855900993443724,0.8799632809900434,TRY_B,4,293.6704711861492,1.2285480631851473,standard,True,183725.32781412982,58.34763671875,0.0,0.0,20.84976848301423,26.466821289062523,20.520013427734394,5.0,3978.0,0.0,0.0,5.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,4,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0004\seed_4,2021,8761,1.0,1,0.855900993443724,0.8799632809900434,TRY_B,4,293.6704711861492,1.2285480631851473,standard,True,185111.9978074056,57.9893203125,0.0,0.0,20.864074086299343,26.911370849609398,20.520013427734394,7.0,4089.0,0.0,0.0,7.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,5,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0005\seed_1,2021,8761,1.0,1,0.8029449079004023,1.1147697510008554,TRY_B,5,294.02229928267036,1.3248120574773004,standard,True,177449.0255048242,60.21375,0.0,0.0,21.169298097932483,26.392999267578148,20.869989013671894,5.0,2302.0,0.0,0.0,5.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,5,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0005\seed_2,2021,8761,1.0,1,0.8029449079004023,1.1147697510008554,TRY_B,5,294.02229928267036,1.3248120574773004,standard,True,173283.95780301286,60.0609296875,0.0,0.0,21.18702859137242,26.820184326171898,20.869989013671894,7.0,2228.0,0.0,0.0,7.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,5,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0005\seed_3,2021,8761,1.0,1,0.8029449079004023,1.1147697510008554,TRY_B,5,294.02229928267036,1.3248120574773004,standard,True,172810.86240510715,60.1961953125,0.0,0.0,21.18432578801049,26.692224121093716,20.869989013671894,6.0,2297.0,0.0,0.0,6.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,5,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0005\seed_4,2021,8761,1.0,1,0.8029449079004023,1.1147697510008554,TRY_B,5,294.02229928267036,1.3248120574773004,standard,True,174185.9867168255,59.83353125,0.0,0.0,21.20030828710426,27.187921142578148,20.869989013671894,9.0,2337.0,0.0,0.0,9.0
